DMC, Name, Hex
869, Hazelnut Brown - VY DK, #784c28
794, Cornflower Blue - LT, #a0b2d7
890, Pistachio Green - ULT DK, #324233
796, Royal Blue - DK, #272276
891, Carnation - DK, #ee3246
797, Royal Blue, #2b3288
892, Carnation - MED, #f44753
798, Delft Blue - DK, #4e5ca7
893, Carnation - LT, #f66879
799, Delft Blue - MED, #6b7fc0
894, Carnation - VY LT, #fd95a3
800, Delft Blue - PALE, #b5c7e9
895, Hunter Green - VY DK, #344b2e
801, Coffee Brown - DK, #60391d
898, Coffee Brown - VY DK, #532f1b
899, Rose - MED, #ea6b78
955, Nile Green - LT, #a8ebad
900, Burnt Orange - DK, #c63117
956, Geranium, #f7566d
902, Garnet - VY DK, #651329
957, Geranium - PALE, #fd99af
904, Parrot Green - VY DK, #386324
958, Seagreen - DK, #0db294
905, Parrot Green - DK, #467924
959, Seagreen - MED, #72d0b7
906, Parrot Green - MED, #6c9e29
961, Dusty Rose - DK, #de586c
907, Parrot Green - LT, #9dc72d
962, Dusty Rose - MED, #eb7183
909, Emerald Green - VY DK, #106b43
963, Dusty Rose - ULT VY LT, #fdccd1
910, Emerald Green - DK, #10814e
964, Seagreen - LT, #a5e4d4
911, Emerald Green - MED, #109256
966, Baby Green - MED, #94d28a
912, Emerald Green - LT, #36b26b
967, Peach - LT, #ffc2ac
913, Nile Green - MED, #55ca7d
970, Pumpkin - LT, #fb6721
915, Plum - DK, #95085a
971, Pumpkin, #fc670d
917, Plum - MED, #ac1071
972, Canary - DEEP, #fb9f11
918, Red Copper - DK, #883630
973, Canary - BRIGHT, #fccd2d
919, Red Copper, #9b371b
975, Golden Brown - DK, #813c11
920, Copper - MED, #ab4836
976, Golden Brown - MED, #cf7532
921, Copper, #c0573d
977, Golden Brown - LT, #ec8f43
922, Copper - LT, #dd6e4c
986, Forest Green - VY DK, #2e5230
924, Gray Green - VY DK, #384a4a
987, Forest Green - DK, #436838
926, Gray Green - MED, #617674
988, Forest Green - MED, #66924a
927, Gray Green - LT, #9fa8a5
989, Forest Green, #71a74e
928, Gray Green - VY LT, #c0c6c0
991, Aquamarine - DK, #135f55
930, Antique Blue - DK, #495c6b
992, Aquamarine - LT, #42b59e
931, Antique Blue - MED, #667684
993, Aquamarine - VY LT, #62d8b6
932, Antique Blue - LT, #93a0af
995, Electric Blue - DK, #0061b0
934, Avocado Green - BLACK, #323324
996, Electric Blue - MED, #49a8eb
935, Avocado Green - DK, #383a2a
3011, Khaki Green - DK, #655935
936, Avocado Green - VY DK, #3f4227
3012, Khaki Green - MED, #8b7b4e
937, Avocado Green - MED, #434f2c
3013, Khaki Green - LT, #afa97b
938, Coffee Brown - ULT DK, #45271a
3021, Brown Gray - VY DK, #50403b
939, Blue - VY DK, #09092f
3022, Brown Gray - MED, #848274
943, Aquamarine - MED, #009a77
3023, Brown Gray - LT, #a29b86
945, Tawny, #f6c19a
3024, Brown Gray - VY LT, #beb8ac
946, Burnt Orange - MED, #ed4115
3031, Mocha Brown - VY DK, #423014
947, Burnt Orange, #fc4f16
3032, Mocha Brown - MED, #9d8868
948, Peach - VY LT, #fde6d3
3033, Mocha Brown - VY LT, #dbc7ad
950, Desert Sand - LT, #e5ac8d
3041, Antique Violet - MED, #866a76
951, Tawny - LT, #faddb6
3042, Antique Violet - LT, #af98a0
954, Nile Green, #6fda8a
3045, Yellow Beige - DK, #af8152
3046, Yellow Beige - MED, #ceb074
3731, Dusty Rose - VY DK, #c34c5c
3047, Yellow Beige - LT, #ead8ab
3733, Dusty Rose, #ea7e86
3051, Green Gray - DK, #4c4c1e
3740, Antique Violet - DK, #71535d
3052, Green Gray - MED, #787e5c
3743, Antique Violet - VY LT, #cfc2c9
3053, Green Gray, #999d75
3746, Blue Violet - DK, #844ab5
3064, Desert Sand, #ba7056
3747, Blue Violet - VY LT, #d0c5ec
3072, Beaver Gray - VY LT, #d2d2ca
3750, Antique Blue - VY DK, #1d4552
3078, Golden Yellow - VY LT, #fcf6b6
3752, Antique Blue - VY LT, #bac9cc
3325, Baby Blue - LT, #adcde7
3753, Antique Blue - ULT VY LT, #d9e6ec
3326, Rose - LT, #f9979c
3755, Baby Blue (?), #81a5d8
3328, Salmon - DK, #be444a
3756, Baby Blue, #e9f4fa
3340, Apricot - MED, #fd6b4f
3760, Wedgewood - MED, #467293
3341, Apricot, #fd8e78
3761, Sky Blue - LT, #b1d0df
3345, Hunter Green - DK, #40552e
3765, Peacock Blue - VY DK, #175e78
3346, Hunter Green, #56743b
3766, Peacock Blue - LT, #4b8aa1
3347, Yellow Green - MED, #6d9646
3768, Gray Green - DK, #4c605f
3348, Yellow Green - LT, #bedf74
3770, Tawny - VY LT, #fef1d8
3350, Dusty Rose - ULT DK, #aa3949
3771, Peach - DK, #e8ac9b
3354, Dusty Rose - LT, #efa5ac
3772, Desert Sand - VY DK, #995744
3362, Pine Green - DK, #49523c
3773, Desert Sand - MED, #cf866d
3363, Pine Green - MED, #617451
3774, Desert Sand - VY LT, #f3cfb4
3364, Pine Green, #8e9b6d
3776, Mahogany - LT, #c96444
3371, Black Brown, #36220e
3777, Terra Cotta - VY DK, #922f25
3607, Plum - LT, #d94c9d
3778, Terra Cotta - LT, #d2705c
3608, Plum - VY LT, #ec81be
3779, Terra Cotta - ULT VY LT, #f2ab95
3609, Plum - ULT LT, #f6b0df
3781, Mocha Brown - DK, #593f2b
3685, Mauve - VY DK, #79263b
3782, Mocha Brown - LT, #b69d80
3687, Mauve, #b5455d
3787, Brown Gray - DK, #62524c
3688, Mauve - MED, #dc7c86
3790, Beige Gray - ULT DK, #6d5a4b
3689, Mauve - LT, #f8bbc8
3799, Pewter Gray - VY DK, #39393d
3705, Melon - DK, #f2494f
3801, Melon - VY DK, #e4353d
3706, Melon - MED, #fd6e70
3802, Antique Mauve - VY DK, #672a33
3708, Melon - LT, #fda0ae
3803, Mauve - DK, #872a43
3712, Salmon - MED, #d95d5d
3804, Cyclamen Pink - DK, #ce2b63
3713, Salmon - VY LT, #fdd5d0
3805, Cyclamen Pink, #df3c73
3716, Dusty Rose - VY LT, #fcafb9
3806, Cyclamen Pink - LT, #f15a91
3721, Shell Pink - DK, #933b3d
3807, Cornflower Blue, #4b599e
3722, Shell Pink - MED, #a04b4c
3808, Turquoise - ULT VY DK, #03535c
3726, Antique Mauve - DK, #95565c
3809, Turquoise - VY DK, #136a75
3727, Antique Mauve - LT, #da9ea6
3810, Turquoise - DK, #2d8d98
3811, Turquoise - VY LT, #a8e2e5
3839, Lavender Blue - MED, #7a7ec5
3812, Seagreen - VY DK, #07a184
3840, Lavender Blue - LT, #b2bdea
3813, Blue Green - LT, #86c3ab
3841, Baby Blue - PALE, #d9eaf2
3814, Aquamarine, #0b8673
3842, Wedgewood - DK, #06506a
3815, Celadon Green - DK, #437259
3843, Electric Blue, #28a3de
3816, Celadon Green, #60937a
3844, Bright Turquoise - DK, #1f7fa0
3817, Celadon Green - LT, #81c6a4
3845, Bright Turquoise - MED, #2badd1
3818, Emerald Green - ULT VY DK, #005d2e
3846, Bright Turquoise - LT, #5eccec
3819, Moss Green - LT, #ccc959
3847, Teal Green - DK, #186358
3820, Straw - DK, #dba53e
3848, Teal Green - MED, #207e72
3821, Straw, #ebbb52
3849, Teal Green - LT, #35b193
3822, Straw - LT, #f7d169
3850, Bright Green - DK, #208b46
3823, Yellow - ULT PALE, #fef5cd
3851, Bright Green - LT, #61bb84
3824, Apricot - LT, #fcae99
3852, Straw - VY DK, #e3a730
3825, Pumpkin - PALE, #fea370
3853, Autumn Gold - DK, #ef8125
3826, Golden Brown, #b16633
3854, Autumn Gold - MED, #fbac56
3827, Golden Brown - PALE, #eaa664
3855, Autumn Gold - LT, #fddfa0
3828, Hazelnut Brown, #aa7c43
3856, Mahogany - ULT VY LT, #fdbe8e
3829, Old Gold - VY DK, #a7671d
3857, Rosewood - DK, #6a2f26
3830, Terra Cotta, #a94138
3858, Rosewood - MED, #803a32
3831, Raspberry - DK, #c12b52
3859, Rosewood - LT, #ba7a6c
3832, Raspberry - MED, #e36370
3860, Cocoa, #896362
3833, Raspberry - LT, #ea8b96
3861, Cocoa - LT, #ac8583
3834, Grape - DK, #6a2258
3862, Mocha Beige - DK, #6e492a
3835, Grape - MED, #924d78
3863, Mocha Beige - MED, #94725d
3836, Grape - LT, #c597b9
3864, Mocha Beige - LT, #c9aa92
3837, Lavender - ULT DK, #8a2a8f
3865, Winter White, #fffdf9
3838, Lavender Blue - DK, #606bad
3866, Mocha Brown - ULT VY LT, #f0e6d7
